;АРТИКУЛ;ОПИСАНИЕ;ШК ПОЗИЦИИ;КОЛЛИЧЕСТВО;размер;вес/гр;ЦЕНА;РАЗМЕР УП-КИ;КАТЕГОРИЯ;ССЫЛКА НА ПОСТАВЩИКА ОСНОВНОЙ ПОЗИЦИИ;ПОСТАВЩИК;;
38;X120386 c02;Черные, полукруглые, черные, душки ребристые изнутри, с отверстиями по краям душек, серый, клетчатый чехол;2007332058721;22;53-20-143;60;720;15х8х4;Женский, Мужской;;;;
39;X120383 c04;Темно-синий, полукруглые, серые, металлические вставки, две точки по бокам над линзами, серый, клетчатый чехол;2007332058714;46;58-18-140;60;720;15х8х4;Женский, Мужской;;;;
40;X120092 c1;Черные, полукруглые, с металлическими вставками от оправы к душкам, серый, клетчатый чехол;2007332058707;12;57-16-140;60;480;15х8х4;Женский, Мужской;;;;
41;X008;Золотые, капельки, черный, с золотыми вставкам и на душках, серый, клетчатый чехол;2007332058691;5;60-20-135;60;280;15х8х4;Женский, Мужской;;;;
42;X8509;Черные, прямоугольные, синие, металлические, серый, клетчатый чехол;2007332058684;6;63-16-123;60;280;15х8х4;Мужской;;;;
43;X033 c16;Коричневые, прямоугольные, коричневые, тигровые, серый, клетчатый чехол;2007332058677;19;51-13-135;60;280;15х8х4;Женский;;;;
44;X8501-1;Черный с коричневыми душками, прямоугольные, черный, с душками под дерево, серый, клетчатый чехол;2007332058660;22;65-17-123;60;280;15х8х4;Женский, Мужской;;;;
45;X801 c11;Черный с коричневыми душками,  круглые, черные, серый, клетчатый чехол;2007332058653;11;50-15-130;60;280;15х8х4;Женский, Мужской;;;;
46;X120500 c02;Черные, прямоугольные, черные, с металлтческими вставками, серый, клетчатый чехол;2007332058646;10; 59-19-143;60;880;15х8х4;Женский, Мужской;;;;
47;X120390 c01;Черные, квадратные, черный, ребристые с металлтческими вставками, серый, клетчатый чехол;2007332058608;22;56-18-138;60;720;15х8х4;Женский, Мужской;;;;
48;Psilium;псиллиум шелуха подорожника, порошок;2007332058592;100;22/13;115;;;;;;;
49;Kerob;Кэроб. Порошок рожкового дерева средней обжарки, порошок;2007332058585;95;22/14;65;;;;;;;
50;Kist-al-hindi-m-p;Молотый корень Кыст аль-хинди, порошок, мелкий помол;2007332058578;50;22/15;70;;;;;;;
51;Kist-al-hindi-kr-p;Молотый корень Кыст аль-хинди, порошок, крупный помол;2007332058561;50;22/16;65;;;;;;;
52;spirulina-t;Сушенные водоросли спирулины, таблетки;2007332058554;100;22/17;115;;;;;;;
53;smyzi-miks;Спирулина, витграсс, хлорелла, барлейграсс, порошок;2007332058547;100;22/18;215;;;;;;;
54;tea-grech;Семена татарской гречихи;2007332058530;100;22/19;115;;;;;;;
55;red-drakon;Молотый питахайя, порошок.;2007332058523;95;22/20;65;;;;;;;
56;deltasvit;Эритрол, экстракт стевии, порошок;2007332058516;80;22/21;65;;;;;;;
57;Kist-al-hindi-t;Молотый корень Кысть аль-хинди, таблетки;2007332058509;48;5/100;70;;;;;;;
58;XJ-972;Золотистые, фигурная, зеркально-розовый, золотистый металл переходящий в коричневый пластик с отверстиями на кончиках, серый клетчетый чехол;2007332058493;1;60-20-135;60;270;15x8x4;Женский;;;;
59;XRB-2140-1;Белый, полукруглая, с металлическими вставками в углах над линзами, черный, широкие душки, серый, клетчатый чехол;2007332058486;1;51-18-137;60;90;15x8x4;Женский;;;;
60;X8010-lewis;Коричневый, круглые, коричневый, тонкие, металл переходящий в пластик, серый, клетчатый чехол;2007332058479;1;45-14-130;60;90;15x8x4;Женский;;;;
61;X2016-c1;Черные, внутри синие, круглые, по бокам вставки в виде розочек, черный, серый, клетчатый чехол;2007332058462;1;60-17-135;60;250;15x8x4;Женский;;;;
62;XR-2035-c2;Коричневый, прямоугольные, коричневые, широкие с ребристые с внутренней стороны, серый, клетчатый чехол;2007332058455;1;46-20-143;60;225;15x8x4;Женский;;;;
63;XRB-2140;Сиреневый, полукруглые, черный с переливом,  с надписью, серый, клетчатый чехол;2007332058448;1; 56-18-135;60;90;15x8x4;Женский;;;;
64;X5517;Черный, круглые, зеркальные, изогнутые, серый, клетчатый чехол;2007332058431;1; 50-10-130;60;270;15x8x4;Женский;;;;
65;XRB-8056-c6;Серый, полукруглые, синие в металической оправе снизу, сверху над линзами в углах металлические вставки, металлические с надписью с переходом в пластик,серый, клетчатый чехол;2007332058424;1; 51-21-127;60;90;15x8x4;Женский;;;;
66;X9045;Золотисто-черный, круглые, изогнутые, черные, тигрового цвета, тонкие, на кончиках отверстия, серый, клетчатый чехол;2007332058417;1;58-18-139;60;270;15x8x4;Женский;;;;
67;XRB-3025-c5-800;Серебристые, капельки, синие, тонкие металлические переходящие в пластик, серый, клетчатый чехол;2007332058400;1;50-10-130;60;90;15x8x4;Женский;;;;
68;XRB-3016;Черный глянцевый, круглые, темно-зеленые, над линзами в углах металлические вставки, с надписью,серый, клетчатый чехол;2007332058394;1;50-20-140;60;90;15x8x4;Женский;;;;
69;XRB-3016-1;Черные, круглые, зеркальные, над линзами в углах металлические вставки, металлический мост, с надписью, серый, клетчатый чехол;2007332058387;1; 50-20-140;60;90;15x8x4;Женский;;;;
70;X30265-1;Розовый, капельки, розовый, металлические, тонкие, серый, клетчатый чехол;2007332058370;1;65-15-142;60;90;15x8x4;Женский;;;;
71;X2320-c4;Черно-розовые, фигурные, без оправы, розовые, тонкие, серый, клетчатый чехол;2007332058363;1;58-17-136;60;270;15x8x4;Женский;;;;
72;X5622;Черные, круглые, голубой, с металлическими вставками в углах над линзами, значек металлический в начале душек, серый, клетчатый чехол;2007332058356;1;47-10-132;60;270;15x8x4;Женский;;;;
73;XEM-2011-c3;Прозрачные, полукруглые, коричневые, серый, клетчатый чехол;2007332058349;1;51-23-14;60;315;15x8x4;Женский;;;;
74;X3026 ;Черные, капельки, с надписью, оранжевые, тонкие с надписью, серый, клетчатый чехол;2007332058332;1; 54-10-130;60;90;15x8x4;Женский;;;;
75;XEM-2001-c2;Серые, полукруглые, серые, серый, клетчатый чехол;2007332058325;1;51-23-149;60;315;15x8x4;Женский;;;;
76;XP-1870-c1;Черные, капельки, оправа сверху пластик, снизу металл, темные, с металлическими вставками узором, серый, клетчатый чехол;2007332058318;1;54-21-136;60;315;15x8x4;Женский;;;;
77;X2201;Белые, детские, прямоугольные с мордой зайца посередене оправы сверху, черные, серый, клетчатый чехол;2007332058301;1;40-17-120;60;90;15x8x4;Девочки, мальчики;;;;
78;X2320-c8;Серые, фигурные, коричневые с переливом, без оправы, с узором,серый, клетчатый чехол;2007332058295;1;56-17-136;60;90;15x8x4;Женский;;;;
79;X3016;Тигровый, полукруглые, темно-зеленые, мост металлический, с надписью, серый, клетчатый чехол;2007332058288;1; 45-10-130;60;90;15x8x4;Женский;;;;
80;XA-8415-c7;Коричневые, треугольником, прозрачные, серый, клетчатый чехол;2007332058271;1; 52-16-137;60;225;15x8x4;Женский;;;;
81;XD-5868-c11;Черные, круглые, металлическая оправа узором, черные, душки без узора, серый, клетчатый чехол;2007332058264;1; 52-16-133;60;315;15x8x4;Женский;;;;
82;X4120-c3;Прозрачные, полукруглые, серые, сверху соединение золотистым пластиком, тонкие металлические переходящие в пластик, серый, клетчатый чехол;2007332058257;1;50-17-130;60;270;15x8x4;Женский;;;;
83;X5005-c3;Золотистые, фигурные, серые, тонкие, металлические, серый, клетчатый чехол;2007332058240;1;64-13-148;60;270;15x8x4;Женский;;;;
84;X7067-c2;Золотистые, фигурные, коричневые, тонкие, металлические, серый, клетчатый чехол;2007332058233;1;50-13-135;60;270;15x8x4;Женский;;;;
85;X931;Золотистый, круглые, фигурная металлическая оправыав, тонкие, серый, клетчатый чехол;2007332058226;1;60-17-150;60;270;15x8x4;Женский;;;;
86;X940;Черные, прямоугольные, зеркальные, тонкие, металлические, серый, клетчатый чехол;2007332058219;1;53-22-150;60;270;15x8x4;Женский;;;;
87;X983;Черные, круглые, металлический золотой мост, тонкие металлические переходят в пластик,  серый, клетчатый чехол;2007332058202;1;55-20-145;60;270;15x8x4;Женский;;;;
88;XAPC2019-c3;Черные, прямоугольные, синие, метальческие с надписью переходящие в пластик, серый, клетчатый чехол;2007332058196;1;54-16-140;60;315;15x8x4;Женский, Мужской;;;;
89;JA-5110-SK-3XL;Спортивный костюм темно-зеленый/TEREXX;;1;3XL;1000;1850;45/40/5;;;;;
